Id,Label
352,Hebr. 10
353,I Kön. 13
354,I Kor. 7
355,Mark. 16
356,Act. 13
357,Luk. 7
358,Joh 13
359,Exod. 17
360,Mark. 4
361,Gal. 4
362,Joh. 5
363,Luk. 19
364,Mark. 14
365,I Sam. 6
366,Jes. 30
367,Gen. 6
368,Deut. 6
369,Rom. 3
370,Rom. 5
371,II Sam. 7
372,Job. 10
373,Exod. 29
374,Deut. 33
375,Jes. 58
376,I Kor. 4
377,Lev. 26
378,Matth. 8
379,Exod. 25
380,Phil. 4
381,Prov. 16
382,Prov. 8
383,Phil. 3
384,Rom. 1
385,Luk 12
386,Job. 1
387,Gal. 6
388,Gen. 46
389,I Kor. 14
390,Ezech. 6
391,Rom. 16
392,Luk. 10
393,Prov. 20
